Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:PGLD,P2 Gold Inc.,TSX Venture Exchange,Other Precious Metals & Mining,111620501
TSXV:ENA,Enablence Technologies Inc.,TSX Venture Exchange,Communication Equipment,208594928
TSXV:SFR,Sandfire Resources America Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,199553795
TSXV:WPG,West Point Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,153688160
TSXV:AURO,Auro Metals Inc.,TSX Venture Exchange,Gold,200268384
TSXV:AUMB,1911 Gold Corporation,TSX Venture Exchange,Gold,195671070
TSXV:BIG,Hercules Metals Corp.,TSX Venture Exchange,Silver,165040650
TSXV:PPP,Prospector Metals Corp.,TSX Venture Exchange,Gold,132801870
TSXV:GHRT,Greenheart Gold Inc.,TSX Venture Exchange,Gold,139157350
TSXV:MGM,Maple Gold Mines Ltd.,TSX Venture Exchange,Gold,140379992
TSXV:PALI,Palisades Goldcorp Ltd.,TSX Venture Exchange,Gold,187263840
TSXV:SEI,Sintana Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,131683831
TSXV:BMM,Black Mammoth Metals Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,190212640
TSXV:AGX,Silver X Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,134591949
TSXV:NILI,Surge Battery Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,144457639
TSXV:FPC,Falco Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,180208101
TSXV:FEO,Oceanic Iron Ore Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,187650320
TSXV:LCX,Lycos Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,164824048
TSXV:SSV,Southern Silver Exploration Corp.,TSX Venture Exchange,Other Precious Metals & Mining,176253990
TSXV:SALT,Atlas Salt Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,175275866
TSXV:KTO,K2 Gold Corporation,TSX Venture Exchange,Gold,111327496
TSXV:APGO,Apollo Silver Corp.,TSX Venture Exchange,Silver,171222946
TSXV:CTH,CoTec Holdings Corp.,TSX Venture Exchange,Asset Management,165530720
TSXV:KLD,Kenorland Minerals Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,166488192
TSXV:GG,Golconda Gold Ltd.,TSX Venture Exchange,Gold,166365262
TSXV:KFR,Kingfisher Metals Corp.,TSX Venture Exchange,Other Precious Metals & Mining,104934096
TSXV:PPX,PPX Mining Corp.,TSX Venture Exchange,Other Precious Metals & Mining,182576096
TSXV:MGG,Minaurum Silver Inc.,TSX Venture Exchange,Silver,163540211
