Ticker,Company
SKMO.ST,Skåne-möllan AB (publ)
WPTG-B.ST,White Pearl Technology Group AB
ARFA.ST,Arctic Falls AB (publ)
DOXA.ST,Doxa AB (publ)
ENVAR.ST,Envar Holding AB (publ)
GAPW-B.ST,Gapwaves AB (publ)
CINPHA.ST,Cinclus Pharma Holding AB (publ)
BEAMMW-B.ST,BeammWave AB (publ)
BACTI-B.ST,Bactiguard Holding AB (publ)
CNCJO-B.ST,Concejo AB (publ)
SEAF.ST,Seafire AB (publ)
SCIB.ST,SciBase Holding AB (publ)
TERNOR.ST,Terranor Group AB (publ)
BEGR.ST,BE Group AB (publ)
TAGM-B.ST,TagMaster AB (publ)
BOTX.ST,Botnia Gold AB (publ)
BOAT.ST,Nimbus Group AB (Publ)
SGG.ST,Sensys Gatso Group AB (publ)
GENI.ST,Generic Sweden AB
SLEEP.ST,Sleep Cycle AB (publ)
SIBEK.ST,Sibek AB (publ)
MOB.ST,Moberg Pharma AB (publ)
HILB-B.ST,Hilbert Group AB (publ)
ONEF.ST,Oneflow AB (publ)
CLBIO.ST,Corline Biomedical AB
OPTER.ST,Opter AB (publ)
NAVIGO-STAM.ST,Navigo Invest AB (publ)
UPSALE.ST,Upsales Technology AB (publ)
H100.ST,H100 Group AB (publ)
G5EN.ST,G5 Entertainment AB (publ)
ENRO.ST,Eniro Group AB (publ)
SNX.ST,Premium Snacks Nordic AB (publ)
SAFETY-B.ST,mySafety Group AB
QSYS.ST,Qualisys Holding AB (publ)
KRONA.ST,Krona Public Real Estate AB (publ)
SOLT.ST,SolTech Energy Sweden AB (publ)
OSSD.ST,OssDsign AB (publ)
INFREA.ST,Infrea AB
BONAS.ST,Bonäsudden Holding AB (publ)
GULD.ST,Guldbrev Holding AB (publ)
MNTC.ST,Mentice AB (publ)
K2A-B.ST,K2A Knaust & Andersson Fastigheter AB (publ)
IVACC.ST,Intervacc AB (publ)
SKOLON.ST,Skolon AB (publ)
SOLNA.ST,Solnaberg Property AB (publ)
DEDI.ST,Dedicare AB (publ)
FLEXQ.ST,FlexQube AB (publ)
DICOT.ST,Dicot Pharma AB
SMOL.ST,Smoltek Nanotech Holding AB
SUSG.ST,Sustainion Group AB
FREJA.ST,Freja eID Group AB (publ)
FRACTL.ST,Fractal Gaming Group AB (publ)
BIOWKS.ST,Bio-Works Technologies AB (publ)
NAXS.ST,NAXS AB (publ)
BMC.ST,Brock Milton Capital AB (publ)
ACUVI.ST,Acuvi AB
MEDS.ST,Meds Apotek AB
WTW-A.ST,Wall to Wall Group AB
ACE.ST,Ascelia Pharma AB (publ)
TRAD.ST,TradeDoubler AB (publ)
META.ST,Metacon AB (publ)
WAYS.ST,Waystream Holding AB (publ)
AGTIRA-B.ST,Agtira AB
PRFO.ST,Profoto Holding AB (publ)
FERRO.ST,Ferroamp AB (publ)
K33.ST,K33 AB (publ)
CANDLE-B.ST,Candles Scandinavia AB (publ)
AGES-B.ST,AGES Industri AB (publ)
ACRI-B.ST,Acrinova AB (publ)
ACRI-A.ST,Acrinova AB (publ)
IMMU.ST,Mendus AB (publ)
KEBNI-B.ST,KebNi AB (publ)
SPRINT.ST,Sprint Bioscience AB (publ)
QAIR.ST,QleanAir AB (publ)
BALCO.ST,Balco Group AB
AVT-B.ST,AVTECH Sweden AB (publ)
ATIN.ST,Athanase Innovation AB (publ)
ACARIX.ST,Acarix AB (publ)
BRAIN.ST,BrainCool AB (publ)
QLINEA.ST,Q-linea AB (publ)
CALVIK.ST,Calviks AB (publ)
ARGO.ST,Argo Defence Group Ab (Publ)
NEXAM.ST,Nexam Chemical Holding AB (publ)
OBAB.ST,Online Brands Nordic AB (publ)
ORT-B.ST,Ortoma AB (publ)
SHIP.ST,BlueYield AB
AVEN.ST,Avensia AB (publ)
4C.ST,4C Group AB (publ)
IMPC.ST,Impact Coatings AB (publ)
ELON.ST,Elon AB (publ)
OGUN-B.ST,Ogunsen AB (publ)
NIO.ST,Nordic Iron Ore AB (publ)
REAL.ST,Real Fastigheter AB (publ)
TERRNT-B.ST,Terranet AB
NORDIG.ST,Nord Insuretech Group AB (publ)
SBOK.ST,ScandBook Holding AB (publ)
PRESRV.ST,Preservium Property AB
MEAB-B.ST,Malmbergs Elektriska AB (publ)
PION-B.ST,PION Group AB (publ)
BLUE.ST,Bluelake Mineral AB (publ)
BESS.ST,Byhmgard AB (publ)
ENRAD.ST,Enrad AB
DSNO.ST,Desenio Group AB (publ)
SES.ST,Scandinavian Enviro Systems AB (publ)
BINERO.ST,Binero Group AB (publ)
UTG.ST,Unlimited Travel Group UTG AB (publ)
MAVEN.ST,Maven Wireless Sweden AB (Publ)
OBSE.ST,Observit AB
OXE.ST,OXE Marine AB (publ)
FREEM.ST,Freemelt Holding AB (publ)
B3.ST,B3 Consulting Group AB (publ)
ARCT.ST,Arctic Minerals AB (publ)
WBGR-B.ST,Wästbygg Gruppen AB (publ)
NEO-B.ST,Neovici Holding AB (publ)
CFISH.ST,Crunchfish AB (publ)
NODE.ST,Nodebis Applications AB (publ)
BUSER.ST,Bambuser AB (publ)
LITI.ST,Litium AB (publ)
ISOFOL.ST,Isofol Medical AB (publ)
MINEST.ST,Minesto AB (publ)
HULT-B.ST,Hultstrom Group AB (publ)
POLYG.ST,Polygiene Group AB
XINT.ST,Xintela AB (publ)
XBRANE.ST,Xbrane Biopharma AB (publ)
MCLR.ST,Medclair AB
