Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
ABO.DE,clearvise AG,97962188,1.3,1.17%,Utilities - Renewable,200,-9.29,-1.14%
CGX.DE,CGRE AG,94800000,16.2,-2.99%,Asset Management,317,,
NTG.DE,Nabaltec AG,94160000,10.65,-0.47%,Specialty Chemicals,5866,7.36,2.40%
7V0.DE,Darwin AG,100200008,8.6,,Biotechnology,0,5.42,1.78%
EDL.DE,Edel SE & Co. KGaA,88502319,4.16,-3.26%,Entertainment,4085,7.2,-20.76%
QBY0.DE,q.beyond AG,725550,3.68,1.10%,Information Technology Services,6966,71.6,1.96%
93M1.DE,MPH Health Care AG,92906033,22,3.77%,Asset Management,1965,3.17,16.18%
B7E.DE,Blue Cap AG,88828403,19.8,,Asset Management,854,4.35,10.31%
BST.DE,Bastei Lübbe AG,86461320,6.68,,Publishing,1235,10.69,1.23%
KWG.DE,KHD Humboldt Wedag International AG,86484217,1.7,-2.30%,Industrial Distribution,51,12.5,-2.30%
CEK.DE,CeoTronics AG,85386000,10.78,2.08%,Communication Equipment,6799,10.67,-2.02%
VOTR.DE,Voltatron AG,82832999,3.91,5.68%,Auto Parts,6589,41.01,-10.73%
PWO.DE,PWO AG,82500000,26.4,,Auto Parts,109,7.4,
RSL2.DE,R. STAHL AG,79212000,12.4,0.81%,Specialty Industrial Machinery,1409,15.25,-8.21%
PTHH.DE,Path2 Hydrogen AG,,0.72,,Motion Picture and Video Tape Production,2000,,14.75%
IBU.DE,IBU-tec advanced materials AG,77425000,15.9,-2.45%,Chemicals,728,13564.3,19.10%
HP3A.DE,Ringmetall SE,77323646,2.66,1.53%,Tools & Accessories,4409,20.53,-2.92%
AJ91.DE,DocCheck AG,77122003,15.2,,Health Information Services,270,14.46,23.58%
N4G0.DE,The NAGA Group AG,77051223,3.31,3.44%,Capital Markets,19088,-15.05,144.28%
HIGH.DE,Cantourage Group SE,73060176,6.2,1.31%,Drug Manufacturers - Specialty & Generic,0,,31.36%
BNN.DE,BRAIN Biotech AG,72970633,3.3,-1.20%,Specialty Chemicals,5907,-6.82,37.50%
MWB0.DE,mwb fairtrade Wertpapierhandelsbank AG,72822369,9.8,1.03%,Capital Markets,863,6.36,-0.51%
V3V.DE,FamiCord AG,71295907,4.09,,Medical Care Facilities,3147,-6.93,-12.79%
PZS.DE,Scherzer & Co. AG,70569954,2.64,,Asset Management,485,14.44,2.33%
